contig	start	end	strand	gene	readCount	RPKM	meanDepth	meanDepth/contig	meanDepth/genome	taxon	reference
NODE_10003_length_1499_cov_2.432825	6	692	+	K03710	28	4.52646082364275	6.7627365356623	1.12988654335241	0.11497066168587	1796616	cid|1796616
NODE_10005_length_1499_cov_1.980609	1308	1493	-	K02911	9	5.37386852392149	4.91397849462366	1.04780281130026	0.0835406430603593	1796616	cid|1796616
NODE_10013_length_1497_cov_2.796117	370	1047	+	K07658	31	5.07796229251578	6.82300884955752	1.03120083268931	0.115995327924652	1796616	cid|1796616
NODE_10019_length_1497_cov_1.633148	572	1060	+	K19221	13	2.95251399473805	3.64826175869121	0.882586918674973	0.0620226835968119	1796616	cid|1796616
NODE_1001_length_30743_cov_37.385069	136	942	-	K02069	529	72.8013795322498	99.1251548946716	1.02083596835959	1.68518832396575	246787	cid|246787
NODE_1001_length_30743_cov_37.385069	4134	5018	+	K12251	560	70.275222278928	94.5988700564972	0.974222226663459	1.60823871043587	345632	cid|345632
NODE_1001_length_30743_cov_37.385069	5503	7260	-	K01876	982	62.0369001157444	95.1268486916951	0.979659590992506	1.61721467049651	47678	cid|47678
NODE_1001_length_30743_cov_37.385069	8729	9916	+	K00652	753	70.3940588966887	100.643097643098	1.03646843377314	1.71099428007058	290053	cid|290053
NODE_1001_length_30743_cov_37.385069	10009	10815	+	K07387	583	80.2329003162602	106.467162329616	1.09644730311633	1.81000694560609	1117645	cid|1117645
NODE_1001_length_30743_cov_37.385069	15796	18267	+	K01338	1335	59.977763986648	97.6270226537217	1.00540752057007	1.65971915861728	717785	cid|717785
NODE_1001_length_30743_cov_37.385069	18273	19403	+	K00773	664	65.2023045661066	93.131741821397	0.959113072239665	1.58329663216948	376805	cid|376805
NODE_1001_length_30743_cov_37.385069	19400	20542	+	K11720	692	67.2383946195181	97.9273840769904	1.0085007792359	1.66482548671331	28119	cid|28119
NODE_1001_length_30743_cov_37.385069	21555	22784	+	K01079	703	63.4757272313392	92.6528455284553	0.95418118021419	1.57515510197854	817	cid|817
