contig	start	end	strand	gene	readCount	RPKM	meanDepth	meanDepth/contig	meanDepth/genome	taxon	reference
NODE_100_length_26834_cov_300.476306	579	1325	+	K23060	4475	229.36357845412	816.83266398929	0.953265969504319	1.47412066824089	1613	cid|1613
NODE_100_length_26834_cov_300.476306	1603	3414	+	K03703	9147	193.273585548056	852.073951434879	0.994393511930609	1.53771987587449	1613	cid|1613
NODE_100_length_26834_cov_300.476306	3479	4786	+	K03979	6639	194.333173359576	786.388379204893	0.917736659854619	1.41917851006211	1613	cid|1613
NODE_100_length_26834_cov_300.476306	4813	5745	+	K00784	5233	214.744034853547	820.670953912111	0.957745358399771	1.48104754905182	1613	cid|1613
NODE_100_length_26834_cov_300.476306	5766	6605	+	K07124	4656	212.219703511025	794.192857142857	0.926844698203226	1.43326308667171	1613	cid|1613
NODE_100_length_26834_cov_300.476306	6678	8975	+	K07462	10248	170.742293288055	728.809834638816	0.850540929898908	1.31526772596399	1613	cid|1613
NODE_100_length_26834_cov_300.476306	8989	9516	+	K00759	3622	262.643429925146	838.965909090909	0.979096069450405	1.51406406852093	1613	cid|1613
NODE_100_length_26834_cov_300.476306	10305	11303	-	K03778	5529	211.901055307555	829.215215215215	0.967716744087291	1.49646719708627	1613	cid|1613
NODE_100_length_26834_cov_300.476306	11806	12615	+	K02509	4489	212.185940671596	772.958024691358	0.902063070292707	1.39494103273902	1613	cid|1613
NODE_100_length_26834_cov_300.476306	15872	16963	-	K00005	5765	202.12902966248	791.923076923077	0.924195802857631	1.42916686221614	1613	cid|1613
NODE_100_length_26834_cov_300.476306	21124	22713	-	K01953	8307	200.031828105144	842.194339622642	0.982863735823807	1.51989034896075	1613	cid|1613
NODE_100_length_26834_cov_300.476306	24152	25141	-	K03484	5062	195.766764922671	738.090909090909	0.861372196602185	1.33201708513689	1613	cid|1613
NODE_1014_length_820_cov_2931.922876	46	768	+	K18320	41598	2202.85631840988	8461.04149377593	1.0477357915563	15.269463001032		
NODE_101_length_26051_cov_693.918988	550	930	-	K07341	5154	517.930464003487	1506.82939632546	0.924018629597713	2.71934320768718	562	cid|562
NODE_101_length_26051_cov_693.918988	930	1151	-	K19165	4075	702.791752885202	1602.8963963964	0.98292888046724	2.89271329507918	28901	cid|28901
NODE_101_length_26051_cov_693.918988	1328	2890	+	K03427	15267	373.978594800504	1599.98784388996	0.981145296534202	2.88746429176011	28901	cid|28901
NODE_101_length_26051_cov_693.918988	4280	7396	+	K01153	29342	360.416718617751	1697.77638755213	1.0411112331727	3.06394121253551	28901	cid|28901
NODE_101_length_26051_cov_693.918988	7610	7885	+	K07480	6983	968.690360014417	2707.28623188406	1.66016333369564	4.8857823214041	573	cid|573
NODE_101_length_26051_cov_693.918988	7804	8307	+	K07480	8251	626.798673278015	1819.47817460317	1.11574126014505	3.28357385893044	562	cid|562
NODE_101_length_26051_cov_693.918988	11083	11301	+	K19164	3960	692.313960048675	1581.35159817352	0.969717169189631	2.85383185246116	562	cid|562
NODE_101_length_26051_cov_693.918988	11303	11608	+	K19163	4608	576.558078671553	1523.95751633987	0.934521943391494	2.7502539643629	562	cid|562
NODE_101_length_26051_cov_693.918988	14532	15698	+	K03496	11579	379.885061455469	1550.42330762639	0.950751308345103	2.79801621929805	562	cid|562
NODE_101_length_26051_cov_693.918988	15698	16669	+	K03497	10195	401.580839301055	1582.94855967078	0.970696458668468	2.85671385516904	562	cid|562
NODE_101_length_26051_cov_693.918988	18781	19464	+	K07319	7915	443.043975441171	1574.96198830409	0.965798929626741	2.84230065839197	562	cid|562
NODE_1039_length_805_cov_1.260000	261	584	-	K02107	10	1.1816993799933	3.27777777777778	1.05291744258225	0.00591533637321128	1305	cid|1305
NODE_105_length_24050_cov_249.521942	1198	1731	+	K01185	3339	239.401672369743	806.256554307116	1.08754399881445	1.45503418632189	562	cid|562
NODE_105_length_24050_cov_249.521942	2374	2868	+	K14744	3035	234.749953196486	759.50101010101	1.02447634219695	1.370655442538	562	cid|562
NODE_105_length_24050_cov_249.521942	2594	2779	+	K14744	1752	360.639403040019	736.709677419355	0.993733550773415	1.32952440549217	562	cid|562
NODE_105_length_24050_cov_249.521942	4177	4740	+	K07474	3402	230.94428691469	770.154255319149	1.03884630029898	1.38988112933069	562	cid|562
NODE_1069_length_787_cov_182.614754	133	603	-	K07491	1776	144.369041196022	477.490445859873	1.10906316391275	0.861716929501762	208479	cid|208479
NODE_106_length_23565_cov_420.655211	70	1221	-	K07483	8661	287.850890534679	1196.57378472222	1.05806799246129	2.15943145383003		
NODE_106_length_23565_cov_420.655211	1178	1546	-	K07483	4451	461.831175250258	1322.0352303523	1.1690070265635	2.38584907670941	562	cid|562
NODE_106_length_23565_cov_420.655211	1818	5705	-	K12684	25894	254.991031212887	1217.34670781893	1.0764364084496	2.19691990969942	562	cid|562
NODE_106_length_23565_cov_420.655211	6649	8850	-	K02014	13335	231.861009956232	1036.29609445958	0.916342763196057	1.87018168911058	244366	cid|244366
NODE_106_length_23565_cov_420.655211	8932	10209	-	K03897	8683	260.130313938975	1085.97496087637	0.96027120215109	1.95983609078706	28901	cid|28901
NODE_106_length_23565_cov_420.655211	10206	11948	-	K03895	10993	241.47426827896	1052.79116465863	0.930928496256448	1.89994999414597	28901	cid|28901
NODE_106_length_23565_cov_420.655211	11948	12895	-	K03896	6136	247.815822382594	936.146624472574	0.827785793280646	1.6894440544276	562	cid|562
NODE_106_length_23565_cov_420.655211	12896	14620	-	K03894	10871	241.286161333908	1044.39072463768	0.923500423853186	1.88478989734386	562	cid|562
NODE_106_length_23565_cov_420.655211	17135	17695	-	K16137	4960	338.509478007919	1143.53832442068	1.01117149203065	2.06371947801561	562	cid|562
