contig	start	end	strand	gene	readCount	RPKM	meanDepth	meanDepth/contig	meanDepth/genome	taxon	reference
NODE_1000_length_23472_cov_68.940428	7443	8324	+	K04083	1030	113.953085803551	163.442176870748	0.92564240742591	2.41957279648349	1736	cid|1736
NODE_1000_length_23472_cov_68.940428	8462	8659	-	K03704	456	224.727956680895	183.868686868687	1.04132640192357	2.72196370233391	39485	cid|39485
NODE_1000_length_23472_cov_68.940428	18713	18907	+	K06392	383	191.655644027654	156.189743589744	0.884568800047113	2.31220889194551	1834196	cid|1834196
NODE_1001_length_23448_cov_8.781259	1538	2017	+	K00783	85	17.2796578533418	20.6208333333333	0.802106969205835	0.30526763855825		
NODE_1001_length_23448_cov_8.781259	17632	17826	+	K06392	69	34.5280403078541	27.9794871794872	1.08834309936417	0.414204015971852	1834196	cid|1834196
NODE_1001_length_23448_cov_8.781259	17864	18250	+	K06393	104	26.2228460264121	30.6356589147287	1.19166258339301	0.453525572967884	208479	cid|208479
NODE_1001_length_23448_cov_8.781259	21010	21870	+	K06397	129	14.6198867838891	22.4738675958188	0.874186097730392	0.332699672188146	208479	cid|208479
NODE_1002_length_23431_cov_3.669362	2104	2526	-	K04762	53	12.2262410176336	15.2718676122931	1.08803170131518	0.226082374413204		
NODE_10038_length_1110_cov_1.455924	533	817	-	K04078	8	2.73906650802199	3.2280701754386	0.871602504192859	0.0477878533630127		
NODE_1003_length_23405_cov_9.073619	11804	12583	-	K03149	175	21.8927791807046	31.4179487179487	1.15633766209783	0.465106470647278		
NODE_1003_length_23405_cov_9.073619	16037	16861	-	K02050	151	17.8599586625343	25.2593939393939	0.929672041803304	0.373936174869656	208479	cid|208479
NODE_1003_length_23405_cov_9.073619	16878	17648	-	K02049	155	19.6170984098365	28.3501945525292	1.04342896422649	0.419691910788485	1940762	cid|1940762
NODE_10043_length_1109_cov_1.955408	652	1056	+	K01734	19	4.57779171016638	5.7037037037037	1.2164245014245	0.0844367505677386		
NODE_10047_length_1108_cov_8.035138	36	854	-	K00046	120	14.2973251792357	20.3577533577534	0.99262412957185	0.301373043145977	246787	cid|246787
NODE_1004_length_23404_cov_11.806844	12194	13090	+	K14731	180	19.581119267214	28.6020066889632	0.949206582534996	0.423419698846656	1796616	cid|1796616
NODE_1004_length_23404_cov_11.806844	14801	16171	-	K03292	241	17.1528795681519	29.3909555069292	0.975389200399551	0.435099175554054	1796616	cid|1796616
NODE_10051_length_1108_cov_1.581197	104	613	-	K07015	16	3.06130962661281	4.14313725490196	1.05579486624457	0.0613343653761148	1322	cid|1322
NODE_1005_length_23395_cov_4.365081	20028	21074	-	K02058	109	10.1586796885987	14.702005730659	1.05338837033075	0.217646226945313	52773	cid|52773
NODE_1006_length_23386_cov_61.304359	4086	4934	-	K11071	829	95.2805577911978	147.020023557126	0.952087367062602	2.17646176983126	1834207	cid|1834207
NODE_1006_length_23386_cov_61.304359	4936	6513	-	K11072	1449	89.6022338787469	152.76299112801	0.989278266243518	2.26147977663735	1834207	cid|1834207
NODE_1006_length_23386_cov_61.304359	13503	14816	-	K22278	1259	93.4948771951969	153.931506849315	0.996845460354572	2.27877830328245	1834207	cid|1834207
NODE_1006_length_23386_cov_61.304359	14944	16779	+	K06207	1598	84.9300830438762	144.22385620915	0.933979659392659	2.13506773936061	1834207	cid|1834207
NODE_1006_length_23386_cov_61.304359	19466	20191	-	K02050	782	105.106018017021	147.132231404959	0.952814014167003	2.17812287751697	1834207	cid|1834207
NODE_1006_length_23386_cov_61.304359	22390	23235	-	K07089	945	108.998092091168	165.505910165485	1.07180017000561	2.45012398611363	1834207	cid|1834207
NODE_10074_length_1105_cov_10.939048	134	910	-	K07720	161	20.2191227027974	32.05148005148	1.03883159173101	0.474485170868241		
NODE_1007_length_23325_cov_19.405157	50	2383	+	K03654	685	28.6382957920197	52.3033419023136	1.02234235907017	0.774290612465907	208479	cid|208479
NODE_1007_length_23325_cov_19.405157	2581	3576	+	K03716	311	30.4690210766226	46.2620481927711	0.904256779101213	0.684856231481521	208479	cid|208479
NODE_1007_length_23325_cov_19.405157	9939	10766	+	K06223	313	36.8868399529139	55.3949275362319	1.0827717472372	0.82005796971142	208479	cid|208479
NODE_1007_length_23325_cov_19.405157	11568	12431	+	K01155	312	35.2369493479912	55.869212962963	1.09204232277599	0.827079218071288	208479	cid|208479
NODE_1008_length_23319_cov_14.514486	729	1922	+	K00925	277	22.6377308915197	36.6206030150754	0.9755882869755	0.542125763022406	208479	cid|208479
NODE_1008_length_23319_cov_14.514486	2179	2706	+	K07040	152	28.0909945851119	35.2916666666667	0.940184862976452	0.522452394137882	208479	cid|208479
NODE_1008_length_23319_cov_14.514486	2710	2892	+	K02911	94	50.1226719603204	45.4262295081967	1.21017388521466	0.672482900492495	208479	cid|208479
NODE_1008_length_23319_cov_14.514486	10180	10806	-	K18234	157	24.4337182817871	32.2711323763955	0.859716557394939	0.477736870033201	208479	cid|208479
NODE_1008_length_23319_cov_14.514486	10808	12433	-	K06158	349	20.9441305519993	35.560270602706	0.947340584954259	0.526428765409437	208479	cid|208479
NODE_100_length_165661_cov_24.777303	8080	8976	+	K00973	418	45.4717102983082	66.2642140468227	1.05058724466475	0.980965212026285	274539	cid|274539
NODE_100_length_165661_cov_24.777303	9004	10023	+	K01710	434	41.5190118109362	63.8558823529412	1.012404303919	0.945312640805131	1834519	cid|1834519
NODE_100_length_165661_cov_24.777303	43246	44658	-	K01571	502	34.6672191527518	55.8839348903043	0.886012910919665	0.827297159214688	1348114	cid|1348114
NODE_100_length_165661_cov_24.777303	44678	45829	-	K01572	452	38.2863007338751	62.0407986111111	0.983627024136917	0.918442420834037	1871021	cid|1871021
NODE_100_length_165661_cov_24.777303	64325	64561	-	K02970	202	83.168807419212	73.3839662447257	1.1634674915957	1.086364926259	66219	cid|66219
NODE_100_length_165661_cov_24.777303	77942	78751	-	K06442	375	45.1755760871682	66.0777777777778	1.04763138728352	0.978205238233133	1042156	cid|1042156
NODE_100_length_165661_cov_24.777303	84070	85662	-	K02837	546	33.4452400591103	55.7934714375392	0.884578656383481	0.825957952202293	1796616	cid|1796616
NODE_100_length_165661_cov_24.777303	88947	89141	-	K06392	141	70.557299759528	59.2205128205128	0.938912749312528	0.876691344655965		
NODE_100_length_165661_cov_24.777303	92223	94319	-	K00962	803	37.3658241352749	65.6471149260849	1.04080343489251	0.971829771750964	1796616	cid|1796616
NODE_100_length_165661_cov_24.777303	94534	94800	-	K02956	213	77.844116277844	75.1910112359551	1.19211732085316	1.11311614180514	1796616	cid|1796616
NODE_100_length_165661_cov_24.777303	111983	113905	-	K02470	742	37.6514816986096	65.3094123764951	1.03544932338311	0.966830475253972	2086584	cid|2086584
NODE_100_length_165661_cov_24.777303	125421	127844	-	K01869	887	35.7065964261251	63.5272277227723	1.00719364282051	0.94044728831277	1322	cid|1322
NODE_100_length_165661_cov_24.777303	130770	132845	-	K02355	784	36.8507358232438	64.2418111753372	1.01852301978985	0.951025871612053	2086584	cid|2086584
NODE_100_length_165661_cov_24.777303	139626	140828	-	K00639	528	42.8277980181992	69.1172069825436	1.09582007554492	1.02320047973989	246787	cid|246787
NODE_100_length_165661_cov_24.777303	140850	141902	-	K00060	468	43.3685530436815	67.1538461538462	1.06469193386279	0.994135188627456	45067	cid|45067
NODE_100_length_165661_cov_24.777303	146765	148426	-	K01886	677	39.7479834078146	66.3188929001203	1.05145415158659	0.98177466934333	225992	cid|225992
NODE_100_length_165661_cov_24.777303	153210	155102	-	K06147	674	34.7429533495737	59.1685155837295	0.93808835813083	0.875921585576504	1322	cid|1322
NODE_100_length_165661_cov_24.777303	155095	156828	-	K06147	652	36.6906962601388	63.9792387543253	1.01436006033603	0.947138789959379	28452	cid|28452
