contig	start	end	strand	gene	readCount	RPKM	meanDepth	meanDepth/contig	meanDepth/genome	taxon	reference
NODE_1001_length_3172_cov_4.511389	485	709	+	K18918	24	3.76300128704051	9.29333333333333	0.126858341258809	0.0346112436866321	545	cid|545
NODE_1001_length_3172_cov_4.511389	693	959	+	K06218	29	3.83170777121401	11.059925093633	0.150973144027076	0.0411905770342498	545	cid|545
NODE_1003_length_3170_cov_2.059390	729	1802	-	K02016	39	1.28104966999459	5.50093109869646	0.826678277371185	0.020487166437628	43675	cid|43675
NODE_1003_length_3170_cov_2.059390	2156	2857	-	K01783	41	2.0604040166755	7.12108262108262	1.07015416273973	0.0265211111094977	43675	cid|43675
NODE_1004_length_3169_cov_2.351959	1497	2639	-	K02600	52	1.60495461717607	6.27296587926509	0.864944910211507	0.0233624624123213	1318	cid|1318
NODE_1004_length_3169_cov_2.351959	2684	3163	-	K09748	27	1.98439520996277	7.45	1.02723969890789	0.0277461010185161	1318	cid|1318
NODE_1005_length_3169_cov_2.271676	1992	3158	-	K03498	40	1.2091906449359	5.191088260497	0.934425373332292	0.0193332160096353	1759399	cid|1759399
NODE_1009_length_3162_cov_2.132604	709	1923	+	K14652	43	1.24852666159523	5.11028806584362	0.758412224922441	0.0190322911286731	1303	cid|1303
NODE_1009_length_3162_cov_2.132604	1910	2377	+	K00794	26	1.95989650366693	5.9508547008547	0.883159793677958	0.0221628208961645	1303	cid|1303
NODE_100_length_82229_cov_9.471207	210	767	-	K00995	121	7.64991861108707	28.6899641577061	1.19010897102803	0.106850287749976	729	cid|729
NODE_100_length_82229_cov_9.471207	858	1460	-	K03386	111	6.49398543006059	23.7943615257048	0.987030968598105	0.0886175514850064	729	cid|729
NODE_100_length_82229_cov_9.471207	1601	2791	+	K01760	176	5.21322596441381	21.9546599496222	0.910716988640682	0.0817659346026021	729	cid|729
NODE_100_length_82229_cov_9.471207	2883	4238	+	K02558	232	6.0357874626203	26.3362831858407	1.09247424328291	0.0980844528492057	729	cid|729
NODE_100_length_82229_cov_9.471207	5200	6327	+	K08304	176	5.50439018051139	23.406914893617	0.970959017092428	0.0871745805597458	729	cid|729
NODE_100_length_82229_cov_9.471207	6327	7088	+	K22132	127	5.87968951100081	23.99343832021	0.995289015828898	0.0893589749549101	729	cid|729
NODE_100_length_82229_cov_9.471207	7256	8248	+	K09815	164	5.82639927374098	25.0332326283988	1.03842146895422	0.0932314901110826	729	cid|729
NODE_100_length_82229_cov_9.471207	8540	10675	+	K12297	307	5.07040640414957	23.689606741573	0.982685560298951	0.0882274123141751	729	cid|729
NODE_100_length_82229_cov_9.471207	10712	12616	-	K11747	237	4.38893358773918	21.1070866141732	0.875558191488578	0.0786093097185797	729	cid|729
NODE_100_length_82229_cov_9.471207	13704	17618	+	K03578	541	4.87496095854626	24.6045977011494	1.0206409562491	0.0916351212531598	727	cid|727
NODE_100_length_82229_cov_9.471207	19350	19853	-	K00950	109	7.62959710356057	26.7202380952381	1.10840135213645	0.0995144195207084	729	cid|729
NODE_100_length_82229_cov_9.471207	19853	21211	-	K00970	198	5.13986102948415	23.0757910228109	0.957223430425197	0.0859413729934332	729	cid|729
NODE_100_length_82229_cov_9.471207	21447	21884	-	K06204	97	7.81273811735723	23.9223744292237	0.992341163621277	0.0890943110759742	729	cid|729
NODE_100_length_82229_cov_9.471207	22177	24549	+	K02238	344	5.11406622448616	25.0379266750948	1.03861618607037	0.0932489721907891	729	cid|729
NODE_100_length_82229_cov_9.471207	24602	26350	+	K11085	256	5.1636381297297	23.0811892510006	0.957447358198717	0.0859614776625167	729	cid|729
