contig	start	end	strand	gene	readCount	RPKM	meanDepth	meanDepth/contig	meanDepth/genome	taxon	reference
NODE_10022_length_597_cov_1.743542	71	340	+	K02963	14	2.03469722969098	5.37777777777778	1.19528418962522	0.0119632609978693	1834196	cid|1834196
NODE_10024_length_597_cov_1.566421	242	415	-	K02913	13	2.93176817578626	5.48850574712644	1.03461886044663	0.0122095834849301	544580	cid|544580
NODE_1005_length_3754_cov_2.157610	1629	2990	+	K17869	45	1.29649524547647	5.84067547723935	1.05039262918255	0.0129930108727815	47715	cid|47715
NODE_1006_length_3752_cov_1.844198	1430	2407	-	K02548	41	1.64505538509196	5.87730061349693	1.03485062188937	0.0130744861739631	544580	cid|544580
NODE_100_length_74482_cov_7.402878	3654	4880	+	K01866	159	5.08496635642296	20.6430317848411	1.07787389359924	0.0459219378773615	2086584	cid|2086584
NODE_100_length_74482_cov_7.402878	13071	14573	+	K00705	188	4.90833720079432	20.4324683965403	1.06687934679222	0.0454535241803048		
NODE_100_length_74482_cov_7.402878	14702	15832	-	K07138	109	3.78180746935743	14.7206012378426	0.768634759551498	0.0327470568571245	853	cid|853
NODE_100_length_74482_cov_7.402878	33214	34593	+	K01755	181	5.14677296143883	20.495652173913	1.07017848157237	0.0455940811260874	84030	cid|84030
NODE_100_length_74482_cov_7.402878	38993	40864	+	K04043	218	4.56968402547356	19.2366452991453	1.00443956025895	0.0427933280151654	1796616	cid|1796616
NODE_100_length_74482_cov_7.402878	41061	42206	+	K03686	131	4.48561711631575	17.5253054101222	0.915082114672512	0.038986326946239	1796616	cid|1796616
NODE_100_length_74482_cov_7.402878	45055	46380	+	K03615	166	4.91247197989386	20.2119155354449	1.05536320063641	0.0449628881685281	1834196	cid|1834196
NODE_100_length_74482_cov_7.402878	46397	47323	+	K03614	130	5.50299528141111	20.336569579288	1.06187199939187	0.0452401902294457	1834196	cid|1834196
NODE_100_length_74482_cov_7.402878	62052	62507	+	K07738	84	7.2285296317969	22.5438596491228	1.17712543535387	0.0501504688416554		
NODE_100_length_74482_cov_7.402878	63757	64191	+	K03786	86	7.75790963438826	22.4091954022988	1.17009395482496	0.0498508983501982		
NODE_100_length_74482_cov_7.402878	64448	65005	+	K02356	87	6.11815641646711	19.7974910394265	1.03372406595009	0.0440409704890238	146827	cid|146827
NODE_10107_length_592_cov_1.284916	158	481	-	K02015	11	1.33224223372624	3.81481481481481	1.18861598440546	0.00848633528085773	43675	cid|43675
NODE_10128_length_591_cov_1.427239	278	454	-	K02970	9	1.99528420829261	3.28248587570621	0.815790223945489	0.0073021305222322	582	cid|582
NODE_10129_length_591_cov_1.343284	150	404	+	K02909	7	1.07719265101287	2.83137254901961	1.04583823529412	0.00629859584865945	43675	cid|43675
NODE_1014_length_3715_cov_1.880055	2772	3332	+	K03088	25	1.74868936852739	4.63814616755793	0.876256764263513	0.0103178962466708	301301	cid|301301
NODE_1019_length_3692_cov_2.457520	298	672	-	K00997	28	2.92996401075501	7.77333333333333	1.2558702374701	0.0172923499878293	47715	cid|47715
NODE_1019_length_3692_cov_2.457520	841	2349	-	K05592	57	1.48224890490127	5.76408217362492	0.931252904998389	0.0128226234526068	47715	cid|47715
NODE_101_length_73664_cov_9.886427	63	413	-	K02887	95	10.6206723527826	23.002849002849	0.907624269498393	0.0511715243148957	29466	cid|29466
NODE_101_length_73664_cov_9.886427	460	657	-	K02916	65	12.8820116814851	31.1414141414141	1.22874793716845	0.0692763592344688	29466	cid|29466
NODE_101_length_73664_cov_9.886427	679	1227	-	K02520	114	8.14831911656106	27.4298724954463	1.08230150026329	0.0610197626903246	29466	cid|29466
NODE_101_length_73664_cov_9.886427	5968	7878	-	K01868	296	6.07808187922939	25.7498691784406	1.0160135468379	0.0572824721236382	248315	cid|248315
NODE_101_length_73664_cov_9.886427	9852	11093	-	K08303	213	6.72966630317047	28.2061191626409	1.11292989391035	0.0627465803206011	29466	cid|29466
NODE_101_length_73664_cov_9.886427	13627	14046	-	K07447	91	8.50212770978016	23.1142857142857	0.912021231970325	0.0514194234507005	29466	cid|29466
