contig	start	end	strand	gene	readCount	RPKM	meanDepth	meanDepth/contig	meanDepth/genome	taxon	reference
NODE_1001_length_2787_cov_20.478770	1027	1788	+	K00065	361	20.9734295974942	64.6509186351706	1.15781157178708	0.231004482489949	573	cid|573
NODE_1003_length_2785_cov_336.697802	6	2477	+	K03695	13068	234.033421210412	932.47855987055	0.955803599672394	3.33184325456261	573	cid|573
NODE_1004_length_2782_cov_2.071874	723	1631	-	K01990	31	1.50978474397913	5.04180418041804	0.995549664981404	0.0180148927517255	2060307	cid|2060307
NODE_1008_length_2756_cov_1.809700	916	2202	-	K01939	51	1.75432014803441	6.48018648018648	1.21162781135644	0.0231543828903846	1902136	cid|1902136
NODE_1009_length_2753_cov_2.370274	1252	2607	-	K02761	47	1.53445935904987	5.39085545722714	1.00040613911333	0.0192620894082302	2060307	cid|2060307
NODE_100_length_66760_cov_7.348115	88	1215	-	K01775	168	6.59352115713056	22.3918439716312	1.19693488193115	0.0800083964444769		
NODE_100_length_66760_cov_7.348115	1235	1585	-	K00997	74	9.33344183333337	20.8490028490029	1.11446376614045	0.074495664025187	2057791	cid|2057791
NODE_100_length_66760_cov_7.348115	1732	3282	-	K05592	189	5.39469912856137	19.4416505480335	1.03923507741207	0.0694670473120813	2005703	cid|2005703
NODE_100_length_66760_cov_7.348115	3614	4969	-	K01929	177	5.77870865003889	20.4299410029499	1.09206321074793	0.0729983122949659	2756	cid|2756
NODE_100_length_66760_cov_7.348115	5134	6198	-	K01921	137	5.69492726100117	18.8178403755869	1.00588989351159	0.06723810843387	1294	cid|1294
NODE_100_length_66760_cov_7.348115	6299	6748	-	K09768	85	8.36225937229733	20.3022222222222	1.08523612388879	0.0725419597563002		
NODE_100_length_66760_cov_7.348115	10221	12482	-	K01919	239	4.67759398497206	17.7771883289125	0.950262820716887	0.0635197500165567		
NODE_100_length_66760_cov_7.348115	12948	13919	-	K03110	116	5.28334470145147	17.7510288065844	0.948864488145043	0.063426279311961	2005703	cid|2005703
NODE_100_length_66760_cov_7.348115	15155	18748	-	K03529	347	4.27433566069013	17.5169727323317	0.936353241641368	0.0625899725208466	37734	cid|37734
NODE_100_length_66760_cov_7.348115	18784	19479	-	K03685	89	5.66106301319317	16.5158045977011	0.882836744092733	0.0590126942437839	1849031	cid|1849031
NODE_100_length_66760_cov_7.348115	20846	21091	-	K02078	61	10.9777149578939	23.4186991869919	1.25182445813199	0.0836774573429782	28038	cid|28038
